"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"ABM_Unit4_model7.nlogox"
"social-influence-experiment"
"07/08/2026 16:45:24:111 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","broadcast","density","social","frac-influential","m","network","influential-weight","[step]","count turtles with [adopted?]","count regulars with [adopted?]","count influentials with  [adopted?]"
"8","0.01","0.3","0.1","0.25","100","random","0.7","2","2","1","1"
"5","0.01","0.3","0.1","0.25","100","random","0.7","55","92","70","22"
"7","0.01","0.3","0.1","0.25","100","random","0.7","9","21","15","6"
"5","0.01","0.3","0.1","0.25","100","random","0.7","56","92","70","22"
"3","0.01","0.3","0.1","0.25","100","random","0.7","18","23","17","6"
"5","0.01","0.3","0.1","0.25","100","random","0.7","57","92","70","22"
"5","0.01","0.3","0.1","0.25","100","random","0.7","58","93","71","22"
"1","0.01","0.3","0.1","0.25","100","random","0.7","7","7","4","3"
"5","0.01","0.3","0.1","0.25","100","random","0.7","59","93","71","22"
"8","0.01","0.3","0.1","0.25","100","random","0.7","3","3","2","1"
"5","0.01","0.3","0.1","0.25","100","random","0.7","60","95","72","23"
"7","0.01","0.3","0.1","0.25","100","random","0.7","10","23","17","6"
"5","0.01","0.3","0.1","0.25","100","random","0.7","61","95","72","23"
"5","0.01","0.3","0.1","0.25","100","random","0.7","62","95","72","23"
"5","0.01","0.3","0.1","0.25","100","random","0.7","63","97","73","24"
"5","0.01","0.3","0.1","0.25","100","random","0.7","64","97","73","24"
"5","0.01","0.3","0.1","0.25","100","random","0.7","65","97","73","24"
"5","0.01","0.3","0.1","0.25","100","random","0.7","66","97","73","24"
"8","0.01","0.3","0.1","0.25","100","random","0.7","4","4","3","1"
"1","0.01","0.3","0.1","0.25","100","random","0.7","8","8","4","4"
"7","0.01","0.3","0.1","0.25","100","random","0.7","11","24","18","6"
"5","0.01","0.3","0.1","0.25","100","random","0.7","67","97","73","24"
"3","0.01","0.3","0.1","0.25","100","random","0.7","19","23","17","6"
"8","0.01","0.3","0.1","0.25","100","random","0.7","5","6","4","2"
"5","0.01","0.3","0.1","0.25","100","random","0.7","68","97","73","24"
"7","0.01","0.3","0.1","0.25","100","random","0.7","12","27","20","7"
"5","0.01","0.3","0.1","0.25","100","random","0.7","69","98","74","24"
"8","0.01","0.3","0.1","0.25","100","random","0.7","6","7","5","2"
"5","0.01","0.3","0.1","0.25","100","random","0.7","70","99","75","24"
"5","0.01","0.3","0.1","0.25","100","random","0.7","71","99","75","24"
"5","0.01","0.3","0.1","0.25","100","random","0.7","72","99","75","24"
"5","0.01","0.3","0.1","0.25","100","random","0.7","73","99","75","24"
"5","0.01","0.3","0.1","0.25","100","random","0.7","74","99","75","24"
"5","0.01","0.3","0.1","0.25","100","random","0.7","75","99","75","24"
"5","0.01","0.3","0.1","0.25","100","random","0.7","76","99","75","24"
"3","0.01","0.3","0.1","0.25","100","random","0.7","20","25","18","7"
"5","0.01","0.3","0.1","0.25","100","random","0.7","77","99","75","24"
